order,service_id,name,address
1,26-2670200209-00-430,"医療法人 社団 行稜会　　平野デイサービスセンター",京都市北区小松原南町10
2,26-2670200522-00-430,医療法人　社団　行陵会　ケアプランセンターこまち,京都市上京区小川通中立売下ル下小川町191　3Ｆ
3,26-2660390010-00-430,居宅介護支援事業所府庁前,京都市中京区丸太町通西洞院東入梅屋町171番2
4,26-2610203602-00-430,医療法人　愛寿会同仁病院,京都市上京区一条通新町東入東日野殿町394-1
5,26-2670300199-00-430,ニチイケアセンター二条,京都市中京区烏丸通り夷川上ル少将井町229-2　第七長谷ビル4F
6,26-2670300363-00-430,居宅介護支援事業所　らくよう,京都市中京区衣棚通夷川下る竪大恩寺町733番地１
7,26-2670300470-00-430,京都生活協同組合福祉事業部中京ホームヘルプサービスセンター,京都市中京区夷川通烏丸東入西九軒町２９１せいきょう会館３階
8,26-2670200316-00-430,社会福祉法人　京都福祉サービス協会　小川事務所,京都市上京区小川通今出川下る西入東今町375
9,26-2670200548-00-430,有限会社介護ステーションふれんず葉賀,京都市上京区猪熊通元誓願寺下る竪神明町472-4
10,26-2670200076-00-430,京都市出水ケアプランセンター,京都市上京区日暮通下立売上ル西入ル分銅町556
11,26-2610203388-00-430,(医)敬幸会　垣田医院,京都府京都市上京区智恵光院通中立売下る山里町238-8
12,26-2670200258-00-430,有限会社共進　やまざと介護支援ステーション,京都市上京区智恵光院通中立売下ル山里町239番地
13,26-2610200251-00-430,居宅介護支援事業所　堀川病院,京都府京都市上京区堀川通今出川上る北舟橋町８６５番地
14,26-2610202158-00-430,医療法人幸生会室町病院,京都市上京区室町通上立売下る裏築地町88
15,26-2670300017-00-430,京都府医師会居宅介護支援事業所,京都市中京区西ノ京東栂尾町６
16,26-2670300058-00-430,居宅介護支援事業所西の京,京都市中京区西ノ京小掘池町16番地
17,26-2670300611-00-430,株式会社ハッピ-ナビゲーション,京都市中京区西洞院通夷川上る毘沙門町３９７-２
18,26-2670900600-00-430,居宅支援事業所　春日,京都市　伏見区　桃山町泰長老87　ラミーユ桃山105
19,26-2673000028-00-430,社会福祉法人　長岡京市社会福祉協議会　きりしま苑,京都府　長岡京市東神足2丁目15番2号
20,26-2670300850-00-430,居宅介護支援事業所新町御池,京都市中京区町頭町９２
21,26-2670300447-00-430,居宅介護支援事業所・姉小路,京都府京都市中京区堀川通姉小路下ル姉東堀川町７６
22,26-2610200780-00-430,医療法人　相馬病院　居宅介護支援事業所,京都府京都市上京区御前通今小路下ル南馬喰町911番地
23,26-2610201358-00-430,公益社団法人京都保健会　居宅支援わかば,千本通上立売上ル作庵町506
24,26-2670200043-00-430,社団法人京都保健会居宅支援上京病院,京都市上京区千本通上立売上ル作庵町504
25,26-2670200456-00-430,居宅介護支援センター千本笹屋町,京都市上京区笹屋町通千本東入笹屋町3丁目622番地
26,26-2670200571-00-430,生活支援センターわをん,京都市上京区元誓願通千本東入元四丁目437-1番地
27,26-2670200720-00-430,居宅介護支援センターぶどうの木,"京都市上京区千本通出水下る十四軒町４０５番地"
28,26-2670300587-00-430,京都市御池ケアプランセンター,京都市中京区御池通柳馬場東入東八幡町579番地
29,26-2670200472-00-430,"十四軒町ケアプランセンター","京都市上京区千本通出水下る十四軒町398"
30,26-2670200035-00-430,有限会社トータルサービスヘイアン指定居宅介護支援事業所,京都市上京区寺町通今出川下る真如堂前町１１４
