order,service_id,name,address
1,41-4170102240-00-430,居宅介護支援事業所　花みずき,佐賀市中央本町１-２２
2,41-4110114438-00-430,医療法人信愛整形外科医院　指定居宅介護支援事業所　すこやか,佐賀市川原町４番８号
3,41-4170102075-00-430,百武整形外科病院　居宅介護支援事業所,佐賀市水ケ江3丁目2番13号
4,41-4170100301-00-430,さがさぽーと,佐賀市唐人一丁目５番１９号　シティ唐人
5,41-4170100525-00-430,"インターケア佐賀 居宅介護支援センター",佐賀県佐賀市多布施一丁目６-５５
6,41-4170100079-00-430,株式会社　かほるケアサービス,佐賀市西田代２丁目４-１２
7,41-4170100772-00-430,ニチイケアセンター佐賀みなみ,佐賀県佐賀市本庄町袋142-1
8,41-4170102182-00-430,居宅介護支援　ながせ,佐賀県　佐賀市　長瀬町　５-２１
9,41-4170100780-00-430,"居宅介護支援事業所 田代",佐賀県佐賀市田代二丁目11-10
10,41-4110111228-00-430,至誠会病院　居宅介護支援事業所,佐賀市田代２丁目７-２４
11,41-4170101291-00-430,まごころ　居宅介護支援事業所,佐賀県佐賀市大財５丁目９番８号
12,41-4110115344-00-430,居宅介護支援事業所　南佐賀,佐賀市南佐賀一丁目１７番１号
13,41-4160190072-00-430,介護サービスセンターうえむら,佐賀市兵庫町大字渕１９０６番地１
14,41-4160190031-00-430,佐賀県看護協会　介護支援事業所,佐賀市緑小路6番10号
15,41-4170100244-00-430,NPOたすけあい佐賀ケアプランサービス,佐賀県佐賀市長瀬町10番37号
16,41-4170102141-00-430,神野診療所ケアマネージメントサービス,佐賀市神野東四丁目１０番５号
17,41-4170100129-00-430,佐賀市社会福祉協議会居宅介護支援佐賀事業所,佐賀市兵庫町藤木1006-1
18,41-4110114651-00-430,居宅介護支援事業所　おそえがわ,佐賀市神園三丁目４-５
19,41-4170101945-00-430,セントケア佐賀,佐賀県佐賀市兵庫南3-1-19
20,41-4150180067-00-430,サンビユーさが居宅介護支援事業所,佐賀市兵庫南三丁目8-1
21,41-4170100707-00-430,ケアプランサービス緑の家,佐賀市八戸二丁目１番２７号
22,41-4170101309-00-430,居宅介護支援事業所　ケアビレッジ夢咲,佐賀県佐賀市兵庫町大字西渕１９３５-１
23,41-4110111103-00-430,"ケアセンターANZU( あんず)",佐賀市神園三丁目18-45
24,41-4110116284-00-430,居宅介護支援事業所　ウェルネス開成,佐賀市開成6丁目５-３７
25,41-4170101051-00-430,有限会社釘本　居宅介護支援事業所青空,佐賀市鍋島町大字蛎久字植木川副１０７番地
26,41-4170100749-00-430,ケアプラン　　ふくふく,佐賀市開成6丁目146-1
