order,service_id,name,address
1,12-1270102328-00-430,アミカ千葉中央介護センター,市場町6-8　クリスタルスクエアＩＮＯＨＡＮＡ052号
2,12-1240110361-00-430,有限会社銀座薬局,千葉市中央区中央３-５-８
3,12-1270103714-00-430,ひまわりケア,千葉県千葉市中央区亥鼻1-2-5
4,12-1270102658-00-430,居宅介護支援サービス　みやび,千葉市中央区二戸名町361-53
5,12-1270100934-00-430,千葉在宅介護センター,千葉県千葉市中央区中央３-５-３　玄昌ビル３Ｆ
6,12-1270101379-00-430,エリアほっとケアプラン千葉,千葉県千葉市中央区中央3-10-6
7,12-1260190165-00-430,かしわど訪問看護ステーション,千葉県千葉市中央区長洲2-20-27
8,12-1270101643-00-430,あすなろ介護相談室,千葉県千葉市中央区本町２-１-２１
9,12-1270100124-00-430,株式会社ケアフレンドモリタ,千葉県千葉市中央区本町3-2-14
10,12-1270103516-00-430,アピス,千葉県千葉市中央区本千葉町1-11
11,12-1270103128-00-430,ケアプランサービス京成千葉中央,千葉県千葉市中央区神明町2-2
12,12-1270102591-00-430,あずみ苑　ラ・テラス葛城,千葉県千葉市中央区葛城1-1-1
13,12-1260190074-00-430,千葉市医師会立訪問看護ステーション,千葉市中央区神明町204
14,12-1270102823-00-430,NPO法人介護サービス千葉中央,千葉市中央区院内２丁目１５番１３号
15,12-1270102914-00-430,ヒューマンライフケア千葉院内の湯,千葉県千葉市中央区院内一丁目７番６号
16,12-1270100694-00-430,株式会社　エイコウ総合福祉サービス青葉の森,千葉市中央区末広2-7-4
17,12-1270102781-00-430,陽だまり介護相談室,千葉県千葉市中央区新田町2-10
18,12-1270101858-00-430,東電さわやかケア千葉・居宅介護支援,千葉市中央区新宿１-８-１２
19,12-1270102666-00-430,エクセルシオール千葉ケアサービス,千葉市中央区鶴沢町10-11
20,12-1270100561-00-430,やさしい手千葉居宅介護支援事業所,千葉市中央区新田町4-22サンライト202号室
21,12-1270103474-00-430,さくらケアプラン,千葉県千葉市中央区末広3-5-1
22,12-1270102641-00-430,医療法人福生会　居宅介護支援事業所,千葉市中央区道場南1-15-31
23,12-1270100942-00-430,居宅介護支援センター　『マザー』,"千葉市中央区弁天2-23-1 弁天プラザ1F"
24,12-1270103409-00-430,かたくり千葉中央,千葉県千葉市中央区新田町14-11
25,12-1270100751-00-430,うらら　在宅介護支援センター,千葉県千葉市中央区千葉寺町１８８
26,12-1270100074-00-430,東千葉介護支援サービス,千葉市中央区祐光１-１２-１０
27,12-1270101866-00-430,居宅介護支援センター　ピアポート千壽苑,千葉県千葉市中央区問屋町６-４
28,12-1270103573-00-430,学研ココファン蘇我,千葉市中央区稲荷町1-4-1
29,12-1270103185-00-430,ＪＡ千葉みらい居宅介護支援事業所,千葉県千葉市中央区千葉港5-25
30,12-1210114868-00-430,医療法人社団　椿森整形外科,千葉市中央区椿森2-7-13
