order,service_id,name,address
1,30-3070105626-00-430,なのはなケアプランセンター,和歌山市小松原通1-1-11
2,30-3070100411-00-430,在宅介護支援センターおのみなと,和歌山市小人町南ノ丁２０番地
3,30-3070105386-00-430,居宅介護支援事業所おのみなと,和歌山市小人町南ノ丁２０番地
4,30-3070108091-00-430,和柔整・池田接骨院,和歌山市東長町９丁目４７の５
5,30-3070101583-00-430,和歌山市社会福祉協議会　居宅介護支援事業所,和歌山県和歌山市八番丁４番地
6,30-3070100585-00-430,株式会社しるばあはっぴい,和歌山市道場町7番地はっぴいビル3F
7,30-3011710138-00-430,稲穂会病院,和歌山県　紀の川市　粉河756-3
8,30-3070100213-00-430,在宅介護支援センター　かまやま,和歌山市　和田350番地
9,30-3070105311-00-430,ケアセンターおたっしゃ倶楽部　和歌山ケアプランセンター,和歌山市　中ノ島　758
10,30-3070107002-00-430,なぐさケアプランセンター,和歌山市　布引　936-1
11,30-3071100014-00-430,美里園指定居宅介護支援事業所,和歌山県　海草郡　紀美野町　安井　6-1
12,30-3071300481-00-430,ケアセンターおたっしゃ倶楽部　伊都・橋本ケアプランセンター,和歌山県　橋本市　高野口町　伏原　243番地
13,30-3071600583-00-430,ケアプランセンター　広川苑,和歌山県　有田郡　広川町　和田18
14,30-3071700177-00-430,社会福祉法人　和生福会　緑風苑居宅介護支援事業所,和歌山県　紀の川市　貴志川町　神戸　２６-１　アクティ貴志川　２０２
15,30-3070103449-00-430,ウィッシュ居宅介護支援事業所,和歌山市出口端ノ丁20番地1
16,30-3010112799-00-430,医療法人　仁泉会　丸山整形外科,和歌山県和歌山市舟大工町12
17,30-3070100106-00-430,みどり第２ケアステーション,和歌山市土佐町３丁目25番地2
18,30-3070101575-00-430,和歌山ケアマネージャーの会,和歌山市舟津町3丁目32-3
19,30-3070104959-00-430,さぎのもり,和歌山市鷺ノ森西ノ丁２５番地　株式会社家具ノ谷沢内
20,30-3070102516-00-430,有限会社　ホームヘルパーサービス　かしの木,和歌山市舟津町4丁目10-5
21,30-3010110512-00-430,中谷医科歯科病院,和歌山市屋形町1丁目11番地
22,30-3070103860-00-430,ケアステーションあかり,和歌山市砂山南2-4-17
23,30-3060190315-00-430,有限会社　友仁フレンドホーム,和歌山市島崎町２丁目２０番地
24,30-3070109297-00-430,ケアプランセンターひまわり,和歌山市雑賀町98番地
25,30-3070104835-00-430,居宅介護支援事業所　ホース1,和歌山市一筋目26
26,30-3060190398-00-430,まつい訪問看護ステーション,和歌山市砂山南４丁目1-37
27,30-3070106590-00-430,アトム　ケアプランセンター,和歌山市西紺屋町2丁目30-2
28,30-3070105352-00-430,ほっと生活館しんぼり,和歌山市新堀東2丁目2-2
29,30-3010110116-00-430,医療法人橋本病院,和歌山県和歌山市堀止南ノ丁4-31
30,30-3010111114-00-430,今福診療所,和歌山市今福2丁目1-16　今福診療所
