order,service_id,name,address
1,44-4470104136-00-430,"ソレイユ居宅介護支援事業所",大分県大分市府内町１丁目６番２７号
2,44-4470100399-00-430,介護保険サービスセンター玉光苑,大分県大分市大字市字洲高田459番地
3,44-4470100308-00-430,介護保険サービスセンターいのべ,大分県大分市府内町１丁目３-２３
4,44-4470105224-00-430,居宅介護支援事業所　ケアプラーナ,大分県大分市金池町３丁目３番９
5,44-4470104102-00-430,いまじん介護相談室,大分県大分市長浜町1-4-5
6,44-4470102312-00-430,ほのぼのケアプランセンター,大分県大分市金池町３-４-１５
7,44-4470103351-00-430,介護保険サービスセンター八木,大分県大分市金池町3丁目5番7号
8,44-4470107253-00-430,居宅介護支援事業所　ケアサポート杏,大分市中央町1丁目１-２０　キュウコウビル５F
9,44-4470106370-00-430,介護保険相談室あさがお,大分県大分市千代町2丁目3番46号
10,44-4470107907-00-430,全労済在宅介護サービスセンターおおいた,大分県大分市中央町４丁目２番５号
11,44-4470100324-00-430,介護保険サービスセンターおおつか,大分県大分市住吉町1丁目1141-1
12,44-4470100050-00-430,大分市介護保険サービスセンターさざんか駅南事業所,大分県大分市金池南一丁目８番１６号
13,44-4460190137-00-430,社団法人大分県看護協会訪問看護ステーションおおいた,大分市寿町2番6号
14,44-4470104433-00-430,田室ケアプランセンターいきいき,大分県大分市大道町4丁目３番１３号
15,44-4470102775-00-430,医療法人　博光会　介護保険サービスセンターつかがわ,大分県大分市東春日町５-２５
16,44-4470100506-00-430,医療生協介護保険サービスセンター健生,大分県大分市大字津留字六本松１９７０-７
17,44-4470102445-00-430,サンテラスながとみ　居宅介護支援事業所,大分県大分市西大道2丁目２-１
18,44-4470105414-00-430,居宅支援サービス風雅,大分県大分市大字三芳２８８番地１
19,44-4470100118-00-430,浦田介護保険サービスセンター,大分県大分市花津留２丁目１０番２号
20,44-4470106917-00-430,セントケア九州株式会社　セントケア大分,大分県大分市大字古国府201番地の1
21,44-4470103302-00-430,居宅介護支援センター仁医会,大分県大分市大字古国府7-8組
22,44-4470107170-00-430,ケアプランあゆみ,大分市新春日町2丁目6-45　第2豊西ビル102
23,44-4470104128-00-430,さくらハウス介護サービスセンター,大分県大分市牧1丁目２５-１
24,44-4470102957-00-430,ケアライフおおいた,大分県大分市羽屋３８番地の３
25,44-4470103948-00-430,ケアオフィース　メルシー・愉里,大分県大分市片島750番地
26,44-4470100043-00-430,ニチイケアセンター大分,大分県大分市下郡東一丁目9番23号
27,44-4470100019-00-430,百々園居宅介護支援センター,大分県大分市大字津守字山崎2742-1
28,44-4470102452-00-430,居宅介護支援総合福祉施設「憩いの館」居宅介護支援事業所,大分県大分市大字津守字長田２５４７番地の６
29,44-4470100431-00-430,西大分居宅介護支援事業所,大分県大分市生石2丁目１-５
30,44-4470102320-00-430,ケアセンター　ゆぅゆぅ,大分県大分市大字奥田41番地の2（明磧6組の1）
