order,service_id,name,address
1,16-1671500237-00-430,ささづ苑居宅介護支援センター,富山県富山市下夕林141
2,16-1670100567-00-430,富山リハビリ居宅介護支援事業所,富山県富山市丸の内2-3-8
3,16-1670111812-00-430,ふくし百選プランニング駅北,富山市牛島町18番７号（アーバンプレイス１階）
4,16-1670100328-00-430,有限会社　千石ケアサービス,富山県富山市千石町5-3-7
5,16-1670100161-00-430,"富山医療生活協同組合 在宅福祉総合センターきずな 居宅介護支援事業所",富山市柳町1丁目２-１８
6,16-1670102019-00-430,長谷川病院居宅介護支援事業所,富山市星井町二丁目７番４０号
7,16-1670103249-00-430,奥田地区居宅介護支援事業所,富山市永楽町41番22号
8,16-1670101367-00-430,医療法人財団博仁会横田病院,富山市中野新町1-1-11
9,16-1670112125-00-430,居宅介護支援事業所aiケア,富山市西中野町1-1-18
10,16-1670101649-00-430,"富山赤十字ケアプラン事業所",富山市牛島本町２-１-５８
11,16-1670111705-00-430,居宅介護支援事業所ひかり苑,西田地方町2丁目10番11
12,16-1660190081-00-430,富山県看護協会ひよどり富山居宅介護支援事業所,富山県富山市鵯島字川原1907-1
13,16-1670104361-00-430,総合福祉ツクイ富山,富山市稲荷元町2-8-9
14,16-1670102134-00-430,デイホーム　福祉の里,富山市下新町16番11号
15,16-1670100559-00-430,城南居宅介護支援事業所,富山県富山市太郎丸西町1-5-12
16,16-1670103025-00-430,しみずまち敬寿苑　居宅介護支援事業所,富山市清水中町2番地11
17,16-1670104544-00-430,若葉会居宅介護支援事業所,富山市元町二丁目3番20号
18,16-1670111580-00-430,居宅介護支援センターすこやか富山,富山市大泉東町１丁目２-１４ポストビル１Ｆ
19,16-1670102837-00-430,ニチイケアセンター富山,富山県富山市下奥井1丁目19番16号
20,16-1670111606-00-430,こもれびの森マロン居宅介護支援事業所,富山市今泉西部町２番地５ＶＩＰハイツ日本海２０１号室
21,16-1670100054-00-430,敬寿苑在宅介護支援センター,富山県富山市今泉西部町１-３
22,16-1670104700-00-430,敬寿苑南居宅介護支援事業所,富山市今泉西部町１２-１
23,16-1670104916-00-430,オークス?あっぷる今泉店,富山市今泉北部町１番地５
24,16-1670105152-00-430,あすなろの郷居宅介護支援事業所,富山市下新北町6-45
25,16-1670111846-00-430,ニチイケアセンター安養坊,富山県富山市安養坊256-1
26,16-1670100542-00-430,にぎやか,富山県富山市綾田町一丁目１０番１８号
27,16-1670100179-00-430,白光苑居宅介護支援事業所,富山市山岸９５番地
28,16-1670102738-00-430,青い鳥居宅介護支援事業所,富山県富山市根塚町３丁目９番１２
29,16-1670105160-00-430,（せいちょうじきょたくかいごしえんじぎょうしょ）,富山県富山市二口町1丁目9番3
30,16-1670100948-00-430,シルバーケア今泉居宅介護支援事業所,富山市今泉218番地
