order,service_id,name,address
1,35-3570302509-00-430,一の坂居宅介護支援事業所,後河原２３-３
2,35-3570301667-00-430,松井介護支援事務所,山口市後河原117
3,35-3510311420-00-430,医療法人　丘病院,山口市中河原町２-１４
4,35-3570302244-00-430,聖ケアマネセンター,山口市糸米1丁目７-５１
5,35-3570300636-00-430,さんコープ　在宅介護サービス,山口市本町２丁目１番１６号
6,35-3570300156-00-430,山口病院居宅介護支援事業所,山口市駅通り二丁目３番２４号
7,35-3570300016-00-430,済生会山口地域ケアセンター在宅複合型施設やすらぎ居宅介護支援事業所,山口市朝倉町４-５５-６
8,35-3570300081-00-430,ニチイケアセンター山口,山口市宮島町3-24山口印刷ビル１階
9,35-3570300073-00-430,湯田温泉在宅ケアセンタ-,山口市泉都町9-7
10,35-3570301790-00-430,ゆうらく園居宅介護支援事業所,山口市楠木町１番26号
11,35-3570300115-00-430,藤原内科ケアセンターぴあ,山口市折本１-９-１２
12,35-3570300297-00-430,ツクイ山口,山口市大内御堀929-1
13,35-3570302228-00-430,ひなたぼっこ居宅介護支援事業所,山口市桜畠5丁目11番37号
14,35-3570301261-00-430,きぼうの森居宅介護支援事業所,山口市大内御堀2160-34
15,35-3570300719-00-430,"青藍会 在宅医療支援センターハートホーム 在宅マネジメントセンター",山口県山口市吉敷中東一丁目2-6　みずほビル2-D
16,35-3570302046-00-430,たみちゃん居宅介護支援事業所,大内御堀832-2
