order,service_id,name,address
1,06-0670103035-00-430,ケアプランセンターあさひ,山形市松波4-8-13
2,06-0670100502-00-430,敬寿園居宅介護支援事業所,山形県山形市大字妙見寺５００-１
3,06-0670101534-00-430,居宅介護支援事業所　訪問看護ステーション小白川,山形市小白川町二丁目3-31
4,06-0670100031-00-430,指定居宅介護支援事業所　愛日荘,山形県山形市大字妙見寺4番地
5,06-0671600591-00-430,指定居宅介護支援事業所よつば,山形市嶋南一丁目10番7号
6,06-0670102110-00-430,指定居宅介護支援事業所あたご荘,山形市大字岩波５番地
7,06-0670101955-00-430,指定居宅介護支援事業所青い鳥,山形市小立二丁目４番２４号グリーンハイツA7１０３号
8,06-0670102748-00-430,ジャパンケア山形薬師,山形県山形市薬師町2-6-17
9,06-0670103332-00-430,高柳整形外科クリニック　ケアプランセンター,"山形市十日町3丁目7番22号"
10,06-0670103340-00-430,ケアプランセンター　エール,山形市壇野前13番地2
11,06-0670102367-00-430,山形ケアセンターそよ風,山形県山形市荒楯町1-4-1
12,06-0670101849-00-430,居宅介護支援事業所　六日町あいあい,山形市六日町２番７号
13,06-0670102193-00-430,至誠堂ケアプランセンター　みらい,山形県山形市旅篭町1丁目7番23号
