order,service_id,name,address
1,32-3272100383-00-430,希翔会居宅介護支援事業所,島根県　鹿足郡　津和野町　後田ロ431
2,32-3270100674-00-430,居宅介護支援事業所　ケアサービス松江,松江市北堀町211番地
3,32-3270102480-00-430,さわやかセンター,島根県松江市黒田町４３３-１
4,32-3270401668-00-430,居宅介護支援事業所　あんしんサポート,東出雲町１１６-１
5,32-3270102506-00-430,居宅介護支援事業所　らくらくタイコー,松江市北田町６３番地４
6,32-3270102308-00-430,居宅介護支援事業所アゼリア,島根県松江市黒田町４７５-７
7,32-3270101888-00-430,湖北ふれあい　しんじ湖温泉居宅介護支援事業所,松江市千鳥町71番地
8,32-3270100625-00-430,ケアセンター咲花,島根県松江市雑賀町40-1
9,32-3230131173-00-430,医療法人　大町歯科医院,幸町８０３-３０
10,32-3270102035-00-430,ケアマネジメント　かえで,島根県松江市黒田町38-5
11,32-3270102159-00-430,北陽マイズケアプラン,島根県松江市袖師町ー３５
12,32-3270101573-00-430,学園在宅支援センター,松江市学園２-７-１６
13,32-3270100567-00-430,ハピネ在宅介護支援センター松江,松江市学園2丁目33番27号
14,32-3270101326-00-430,オレンジロード,松江市学園２丁目２５番８号
15,32-3270102548-00-430,ケアプラン　かりん,島根県松江市浜佐田町958-6
16,32-3260190040-00-430,生協のぞみ在宅支援センター,松江市西津田7-14-21
17,32-3270100062-00-430,みずうみ支援センター,松江市西法吉町35-20
18,32-3260190008-00-430,島根県看護協会訪問看護ステーションやすらぎ,松江市浜乃木2丁目1番23号
19,32-3270102423-00-430,こころね居宅介護支援事業所,島根県松江市東朝日町１５８番地８
20,32-3270101607-00-430,ぬくもりの里,松江市西川津町５３３-１
21,32-3270100096-00-430,ニチイケアセンター浜乃木,松江市浜乃木６丁目６番２３号
22,32-3270100591-00-430,在宅介護支援サービスすみれ,"松江市浜乃木3-3-26 ＧＯＯＤＡＧＥ浜乃木8Ｆ"
23,32-3270101821-00-430,居宅介護支援センタースワン,島根県松江市浜乃木3-3-26
24,32-3260190081-00-430,訪問看護介護ステーションすずらん,松江市上乃木七丁目５-１６
25,32-3270102225-00-430,アースサポート松江,島根県松江市古志原１丁目６番１号
26,32-3270100682-00-430,松江ケアプランセンター,松江市西生馬町482
27,32-3270100153-00-430,津田居宅介護支援センター,"松江市西津田十丁目19-50"
28,32-3270101920-00-430,居宅介護支援事業所花きりん,松江市東出雲町意宇南5丁目4-1
