order,service_id,name,address
1,38-3871100024-00-430,指定居宅介護支援事業所　高縄荘,愛媛県松山市立岩中村甲345番地
2,38-3870100322-00-430,在宅介護支援センターあい,愛媛県松山市三番町四丁目11番地3
3,38-3870104233-00-430,有限会社エーゼル,愛媛県松山市清水町1丁目8-14得松マンション103号
4,38-3810110597-00-430,千舟町クリニック,愛媛県松山市千舟町6-4-9
5,38-3870102138-00-430,シルバー指定居宅介護支援事業所,愛媛県松山市萱町1丁目1番地７
6,38-3870106832-00-430,指定居宅介護支援事業所一歩,愛媛県平和通一丁目３番１１
7,38-3870103557-00-430,テルウェル西日本愛松園居宅介護支援事業所愛松園,愛媛県松山市喜与町1丁目8-4
8,38-3870100157-00-430,居宅介護支援事業所松山市医師会,愛媛県松山市柳井町2丁目85番地
9,38-3870100363-00-430,在宅介護支援センターうらや,愛媛県松山市中一万町3-22
10,38-3870102856-00-430,居宅介護支援事業所とかじ,愛媛県松山市味酒町1丁目9番地15
11,38-3870103409-00-430,ひめヘルプ,愛媛県松山市高砂町2丁目3-3-201
12,38-3870106634-00-430,指定居宅介護支援事業所　もちだ,愛媛県松山市勝山町2丁目72
13,38-3870108994-00-430,居宅介護支援事業所　ほほえみ,松山市立花一丁目９番１７号
14,38-3870104696-00-430,ＭＭＣドリームサービス,松山市大手町２-７-７
15,38-3870105099-00-430,アースサポート松山,愛媛県松山市味酒町3丁目4番1号
16,38-3870104480-00-430,指定居宅介護支援事業所「シエスタ本町」,愛媛県松山市本町6町目2番地1
17,38-3870100215-00-430,貞本病院居宅介護支援事業所,愛媛県松山市竹原町1丁目6番地1
18,38-3870100082-00-430,医療法人愛光会指定居宅介護支援事業所,愛媛県松山市築山町7番11号
19,38-3870106428-00-430,株式会社　ケアサポート　まごころ,松山市立花２丁目５番３５号
20,38-3870102526-00-430,"えひめ介護ネットワーク中予居宅介護支援事業所",愛媛県松山市竹原町51番地15
21,38-3870103847-00-430,居宅介護支援事業所　よかよか倶楽部,愛媛県松山市築山町8-3　サン・アルテ藤
22,38-3810128862-00-430,（居宅介護支援事業所）　久野内科,愛媛県松山市此花町8番24
23,38-3870103888-00-430,ＪＡえひめ中央居宅介護支援事業所,愛媛県松山市千舟町8丁目128番地1
24,38-3870109141-00-430,居宅介護支援事業所ひまわり,愛媛県松山市竹原町628番地1
25,38-3870100272-00-430,居宅介護支援たちばな事業所,愛媛県松山市立花五丁目1番53号
26,38-3870105032-00-430,居宅介護支援事業所ファミリーケア南江戸,愛媛県松山市南江戸1丁目1番21号
27,38-3870108424-00-430,居宅介護支援事業所　こもれび,松山市祇園町１番３７号ロイヤルコートII１０１
28,38-3870100256-00-430,有限会社ハートケアサービス,愛媛県松山市朝生田町2丁目13番20号
29,38-3870108317-00-430,居宅介護支援事業所　エフ,松山市中村4丁目１１-１９
30,38-3870100371-00-430,居宅介護支援事業所　　やわらぎ,美沢1丁目10番38号
