order,service_id,name,address
1,15-1550180093-00-430,指定居宅介護支援事業所千歳園,新潟市中央区新光町１番地33
2,15-1570100352-00-430,新潟県看護協会訪問看護ステーションにいがた,新潟県新潟市中央区川岸町3丁目３３番２号イズミサンリバー川岸1F-C
3,15-1570109742-00-430,居宅介護支援事業所　関新,新潟市中央区関新１丁目２番３２号
4,15-1570107621-00-430,居宅介護支援事業関屋おもと園,新潟市中央区関屋大川前1丁目2番36号
5,15-1570111185-00-430,居宅介護支援センター　グッドスマイル,新潟県新潟市中央区関屋本村町2丁目326番地
6,15-1570108488-00-430,フランスベッド株式会社新潟居宅介護支援事業所,新潟市中央区南出来島1丁目4番1号
7,15-1570107225-00-430,ケアプランせせらぎ女池,新潟市中央区女池上山4丁目5番1号
8,15-1570105484-00-430,バイタルケア新潟介護サービス,新潟市中央区川岸町2-8-2
9,15-1570109551-00-430,居宅介護支援事業所かわぎし町,新潟県新潟市中央区川岸町2丁目11番14号福新ビル2階
10,15-1570105435-00-430,有限会社ケーワ,新潟市中央区有明大橋町5-5
11,15-1570102457-00-430,株式会社パロム居宅介護支援事業所,新潟県新潟市中央区上近江１丁目２番２０号
12,15-1570106409-00-430,ケアプラン・スローライフ,新潟市中央区関屋金衛町1丁目66番地
13,15-1570103117-00-430,信越ユニオン株式会社ハンド・ハンド,新潟市中央区文京町６番２７号
14,15-1570109338-00-430,ウイング関屋居宅介護支援事業所,新潟県新潟市中央区関屋田町1丁目6番2
15,15-1570109122-00-430,ロングライフ　支援サポート,新潟県新潟市中央区文京町3-17
16,15-1570100139-00-430,在宅介護支援センター浜浦町,新潟市中央区浜浦町１丁目１８１番地３
17,15-1570101533-00-430,ニチイケアセンターせきや,新潟市中央区文京町11-25
18,15-1570107019-00-430,"特定非営利活動法人　新潟介護予防協会　ケアサービス西海岸",新潟市中央区白山浦２丁目１８６-３
19,15-1570109437-00-430,ケアプラン・ラック,新潟市中央区浜浦町2-12-1　ジョイロードハマウラ104号
20,15-1570102242-00-430,アレック北栄新潟,新潟市中央区愛宕2-10-2
21,15-1570108678-00-430,浦山ケアプラン,新潟県新潟市西区浦山2-1-66
22,15-1570100113-00-430,在宅介護支援センターおもと園,新潟市中央区鳥屋野4-17-5
23,15-1570100105-00-430,医療法人恒仁会　在宅介護支援センター女池南風苑,新潟県新潟市中央区女池神明1丁目6番地14
24,15-1570107696-00-430,居宅介護支援事業所なかの,新潟市東区粟山字南中谷内706番地1
25,15-1570105633-00-430,訪問看護ステーション　たんぽぽ,新潟県　新潟市　西蒲区赤鏥１００４-７
26,15-1570110070-00-430,社会福祉法人　常陽会　ケアプランセンター黒埼,新潟県　新潟市西区善久521-4
27,15-1570202307-00-430,居宅介護支援事業所　そらまめ,新潟県　長岡市　来迎寺4150
28,15-1572200739-00-430,ツクイ佐渡さわた,新潟県　佐渡市東大通1225-4
29,15-1570106631-00-430,居宅介護支援事業所ゆあ・らいふ,新潟市西区平島2丁目2-8マンション中山202号
30,15-1550180010-00-430,にいがた園居宅介護支援事業所,新潟県新潟市中央区鳥屋野４５１-６
