order,service_id,name,address
1,09-0970100541-00-430,ＪＡうつのみや居宅介護支援サービス,栃木県宇都宮市戸祭元町３番１０号
2,09-0970100137-00-430,宇都宮市社会福祉協議会,栃木県宇都宮市中央1丁目1番15号
3,09-0970104477-00-430,"居宅介護支援事業所　ケアプラン　アソシエ",栃木県宇都宮市東塙田1丁目６-２７
4,09-0970100582-00-430,有限会社ケアメイトやまぐち居宅介護支援事業所,宇都宮市伝馬町3-2
5,09-0970100244-00-430,ケア工房　野の花,栃木県宇都宮市星が丘1-7-38
6,09-0970101457-00-430,とちぎ在宅サポート,栃木県宇都宮市下戸祭２-９-５
7,09-0970104246-00-430,ケアセンター木の実,宇都宮市大通り２-３-５
8,09-0970200382-00-430,社会福祉法人　豊岡福祉会　在宅介護支援センター天王,栃木県　足利市　福居町　750番地1
9,09-0970103677-00-430,ケアプランゆう,栃木県宇都宮市三番町3番30号
10,09-0970100095-00-430,アール居宅介護支援サービス,栃木県宇都宮市大通り3丁目1番２４号
11,09-0970105078-00-430,"ケアプラン たちばな",栃木県宇都宮市西三丁目２番３６号
12,09-0970105110-00-430,ケアプラン　一条（平成22年度新規指定事業所）,栃木県宇都宮市一条２丁目４-７
13,09-0970103149-00-430,居宅介護支援センター　さくらんぼ,栃木県宇都宮市南大通り2-1-2　6Ｆ
14,09-0970101705-00-430,ケアマネジメント　にしき,栃木県宇都宮市錦１丁目１１８２-１
15,09-0970100327-00-430,ハートポイント宇都宮,栃木県宇都宮市今泉町134番地３
16,09-0970100418-00-430,ウイズケアサービス,栃木県宇都宮市山本2丁目24番地12
17,09-0970101887-00-430,高齢者介護相談センター南の里,宇都宮市花房３-３-１６
18,09-0970105037-00-430,宇都宮中央ケアプランセンター,栃木県宇都宮市東宿郷2-1-1
19,09-0970100053-00-430,老人デイサービスセンター　にしはら,栃木県宇都宮市新町1丁目2番21号
20,09-0970102950-00-430,ふれんど宇都宮居宅介護支援センター,栃木県宇都宮市富士見が丘1-14-10
21,09-0960190072-00-430,訪問看護ステーションほっと,栃木県宇都宮市竹林町958
22,09-0970103016-00-430,あおば居宅介護支援事業所,栃木県宇都宮市中戸祭町851番地
23,09-0970104303-00-430,居宅介護支援事業所やすらぎ,栃木県宇都宮市富士見が丘3丁目19番20号
24,09-0970105136-00-430,サニーライフ宇都宮　居宅介護支援事業所,栃木県宇都宮市今泉町395番地
25,09-0970102794-00-430,にんじん,栃木県宇都宮市鶴田町2771
26,09-0970102463-00-430,在宅サポートこころ,栃木県宇都宮市材木町４-２４
27,09-0970100822-00-430,居宅介護支援事業所うつのみや,栃木県宇都宮市下砥上町643番地1
28,09-0970101283-00-430,ライフサポート宮の原,栃木県宇都宮市宮原4-2-3
29,09-0970101861-00-430,今泉ケアセンター　そよ風,栃木県宇都宮市中今泉四丁目22番1号
30,09-0970105862-00-430,居宅介護支援センターおひさま,栃木県宇都宮市今泉新町45-7
