order,service_id,name,address
1,17-1770102893-00-430,居宅介護支援事業所　白寿園,金沢市鞍月4丁目143番地
2,17-1710114420-00-430,映寿会在宅介護センター,金沢市鞍月東１丁目８番地２
3,17-1770103602-00-430,ふぉーりーふ居宅介護支援事業所,金沢市藤江北４丁目２６０番地
4,17-1770103313-00-430,ケアプラン金沢健康企画,金沢市南新保町ヌ２０４番地
5,17-1770104105-00-430,静港庵,金沢市駅西本町６丁目１５番地８号　藤江南ハイム５０６号室
6,17-1770102414-00-430,居宅介護支援みんちか,金沢市北安江４丁目２６番２号
7,17-1770103008-00-430,すずらん支援センター,金沢市西念2-1-39
8,17-1770103909-00-430,居宅介護支援事業所　サンケア,石川県金沢市諸江町30番1号
9,17-1770102711-00-430,居宅介護支援事業所　しらさぎ苑,金沢市割出町138
10,17-1770104345-00-430,居宅介護支援センター住みよし２４,金沢市寺中町ホ９番地１
11,17-1770100277-00-430,中央金沢朱鷺の苑居宅介護支援事業所,金沢市広岡2丁目1番7号
12,17-1770103164-00-430,ジャパンケア金沢金石,金沢市金石東1-1-58
13,17-1760190122-00-430,居宅介護支援事業所あて,金沢市大豆田本町甲278
14,17-1770102653-00-430,コープいしかわケアセンター金沢,石川県金沢市入江２-３８４
15,17-1710117167-00-430,介護保険相談センター　金沢やすだ,金沢市大豆田本町ハ62番地
16,17-1750180018-00-430,金沢春日ケアセンター,金沢市元菊町20番1号
17,17-1770103479-00-430,居宅介護支援事業所　路（みち）,石川県金沢市沖町ニ２８-３
18,17-1770101770-00-430,ケアセンター・アヤカ,石川県金沢市大豆田本町ハ-17-2
19,17-1770103545-00-430,居宅介護支援事業所かいてき,石川県金沢市間明町1丁目142-1
20,17-1760190452-00-430,医療法人社団光仁会　きじま在宅介護センター,金沢市松寺町子41-1
21,17-1770101044-00-430,ニチイケアセンターかないわ,石川県金沢市金石本町ロ３１-１
22,17-1770101374-00-430,居宅介護支援事業所　ライフ,石川県金沢市本江町8番13号
23,17-1770100129-00-430,財団法人金沢市福祉サービス公社居宅介護支援事業所,金沢市芳斉２丁目３番２８号
24,17-1770101259-00-430,ケアプランほっとケア玉川,金沢市玉川町１４番２３号
25,17-1770102190-00-430,公益社団法人金沢市シルバー人材センター,金沢市長町３-３-３
26,17-1770100137-00-430,ケアサポート金沢居宅介護支援事業所,石川県金沢市長町2丁目7-22
