order,service_id,name,address
1,14-1470400076-00-430,"有限会社　ケアサービス コパン",神奈川県横浜市中区山下町70-15
2,14-1470400126-00-430,ニチイケアセンター関内,神奈川県横浜市中区相生町１-３
3,14-1470401678-00-430,フルライフ関内,神奈川県横浜市中区山下町225
4,14-1470401249-00-430,銀杏の大樹介護保険センター,神奈川県横浜市中区山下町２５２
5,14-1470401181-00-430,東電さわやかケア馬車道・居宅介護支援,神奈川県横浜市中区太田町４-４９
6,14-1470400472-00-430,介護支援センタートミーケアーズ,神奈川県横浜市中区常盤町3-24
7,14-1470400837-00-430,横浜市福祉サービス協会　関内第二介護事務所,神奈川県横浜市中区尾上町3-35
8,14-1470400514-00-430,ケアステーション・花菱,神奈川県横浜市中区常盤町５-５７
9,14-1470401355-00-430,テルウェル東日本　神奈川ケアプランセンタ,神奈川県横浜市中区山下町１６２-１
10,14-1470400787-00-430,株式会社中央防災技研　クリンライフケア事業部　中区事業所,神奈川県横浜市中区扇町2-4-2
11,14-1470400845-00-430,特定非営利活動法人　ケアサポート青空,神奈川県横浜市中区吉浜町１-９
12,14-1470400209-00-430,医療法人社団三井会　横浜ケアオフィス,神奈川県横浜市中区山下町１１８
13,14-1470401884-00-430,ヨコハマ介護ステーション,神奈川県横浜市中区不老町1丁目６-９
14,14-1470400654-00-430,ケアプランサービス横浜,神奈川県横浜市中区太田町6-84-2
15,14-1470400878-00-430,ふれあい介護支援センター,神奈川県横浜市中区万代町１-２-８
16,14-1470400753-00-430,特定非営利活動法人　ことぶき介護,神奈川県横浜市中区松影町２-７-１７
17,14-1470300896-00-430,株式会社ネオ企画　ケアステーションふれ愛,神奈川県横浜市中区万代町2-4-1
18,14-1470401777-00-430,かながわ福祉サービス居宅介護支援事業所,横浜市中区羽衣町１-３-１１ルシオン関内３０２号室
19,14-1470400142-00-430,有限会社　元町ケアサービス,神奈川県横浜市中区元町２丁目９１番地
20,14-1470401280-00-430,きらりケアマネステーション,神奈川県横浜市中区石川町３-１０８-１
21,14-1470400050-00-430,横浜市不老町地域ケアプラザ,神奈川県横浜市中区不老町3-15-2
22,14-1470401629-00-430,ケアマネオフィス　ありがとう,神奈川県横浜市中区石川町３-１０６-４
23,14-1470401926-00-430,ゆうゆうassist居宅介護支援センター,神奈川県横浜市中区長者町４-９-１
24,14-1470400498-00-430,カスタム介護支援センター　寿,神奈川県横浜市中区長者町１-１-２
25,14-1470401728-00-430,ナーシングホーム横浜・長者町居宅介護支援センター,横浜市中区長者町3-7
26,14-1470401900-00-430,ナーシングホーム横浜・長者町　居宅介護支援センター,神奈川県横浜市中区長者町3-7-5
27,14-1470400746-00-430,株式会社　ケアステーション大樹　横浜センター,神奈川県横浜市中区富士見町１-２
28,14-1470400357-00-430,横浜市麦田地域ケアプラザ,神奈川県横浜市中区麦田町１-２６-２
29,14-1470400266-00-430,株式会社エール福祉協会ケアサービス事業部,神奈川県横浜市中区弥生町２-１５-１
30,14-1470502087-00-430,さかえケアステーション,神奈川県横浜市南区中村町1-10-1
