order,service_id,name,address
1,14-1470400472-00-170,介護支援センタートミーケアーズ,神奈川県横浜市中区常盤町3-24
2,14-1470400266-00-170,株式会社エール福祉協会ケアサービス事業部,神奈川県横浜市中区弥生町２-１５-１
3,14-1460590067-00-170,アズミメディケアサービス神奈川,神奈川県横浜市南区真金町１-７
4,14-1460490060-00-170,あすか居宅介護支援センター,神奈川県横浜市中区弥生町3-29-19-202
5,14-1470301217-00-170,ＮＯＡＡ神奈川販売,神奈川県横浜市西区花咲町4丁目111番地
6,14-1473800058-00-170,アビリティーズ・ケアネット株式会社横浜営業所,神奈川県横浜市南区浦舟町３-４６
7,14-1470301126-00-170,まごころ介護サービスセンター,横浜市西区桜木町７丁目４２番地橋本ビルＦ１
8,14-1470501659-00-170,ケアウェル横浜店,神奈川県横浜市南区宮元町１丁目２１-３
9,14-1470700491-00-170,"パナソニックエイジフリー介護チェーン　磯子",神奈川県横浜市磯子区原町９-７
10,14-1470200187-00-170,ニチイケアセンター反町,神奈川県横浜市神奈川区桐畑18-4
11,14-1470701192-00-170,ケアレンタル磯子,神奈川県横浜市磯子区滝頭1丁目2番地1号
12,14-1470200070-00-170,柴橋商会　介護用品ショップ　横浜西口,神奈川県横浜市神奈川区鶴屋町３-２９-１
