order,service_id,name,address
1,07-0770103588-00-430,福島寿光会病院指定居宅介護支援事業所,福島県福島市舟場町１番地の４
2,07-0770100287-00-430,しゃくなげ居宅介護支援ステーション,福島県福島市渡利字七社宮111番地
3,07-0770103497-00-430,ゆとり指定居宅介護支援事業所,福島市清明町1番10号１Ｆ
4,07-0770103489-00-430,ケアプランセンター小倉寺,福島県福島市小倉寺字兜石１番地
5,07-0770102366-00-430,ファミリーケア指定居宅介護支援事業所,福島県福島市浜田町6-5
6,07-0770103208-00-430,爽秋会ふくしま在宅緩和ケア支援事業所,福島県福島市御山町7番地11号
7,07-0770100014-00-430,福島市社会福祉協議会居宅介護支援事業所,福島県福島市森合町10番1号
8,07-0770103265-00-430,ふくしま訪問看護ケアプランセンター,福島市方木田字前川原１１-１
9,07-0770101830-00-430,アースサポート福島,"福島県福島市曾根田町６番１０号"
10,07-0770101467-00-430,よろこび介護支援センター,福島県福島市渡利字川岸町24番5号
11,07-0770103778-00-430,ウインスリーひかり　居宅介護支援事業所,福島市北五老内町３番８号
12,07-0770100246-00-430,医療生協わたり介護支援事業所,福島県福島市渡利字中江町３４
13,07-0770101483-00-430,指定居宅介護支援事業所　はなみずき,福島市渡利字中江町29-3
14,07-0770102218-00-430,大雲　指定居宅介護支援事業所,福島県福島市小倉寺字稲荷山１０番地の３９
15,07-0770103190-00-430,大　雲　ケアプランセンター,福島県福島市小倉寺字稲荷山10番地の39
16,07-0770103083-00-430,社会福祉法人　こしのはま居宅介護支援センター,福島県福島市腰浜町31-1
17,07-0770100659-00-430,ニチイケアセンター南福島,福島県福島市方木田字四斗蒔田６-２２
18,07-0770100147-00-430,すかわ指定居宅介護支援事業所,福島県福島市野田町１丁目13-58
19,07-0770100105-00-430,「聖・オリーブの郷」居宅介護支援センター,福島県福島市春日町14-14
20,07-0770104032-00-430,ミニとまとケア指定居宅介護支援事業所,福島県福島市太平寺字古内１４番地の９
21,07-0770103729-00-430,"居宅介護支援事業所 なごみ",福島県福島市太平寺字町ノ内30
22,07-0770101988-00-430,ニチイケアセンター太平寺,福島市太平寺字過吹6-2　ザ・36・メイファイブ
23,07-0770100022-00-430,エルダーランド指定居宅介護支援事業所,福島県福島市吉倉字谷地５２
24,07-0770102606-00-430,愛の里居宅介護支援事業所,福島県福島市大森字街道下５３番地１
25,07-0770102762-00-430,ライフ吉井田居宅介護支援事業所,福島県福島市吉倉字谷地３６番の１
26,07-0770100329-00-430,"福島赤十字指定居宅介護支援事業所",福島県福島市入江町89-1
27,07-0770100188-00-430,あづま脳神経外科病院　指定居宅介護支援事業所,福島県福島市大森字柳下16番地の1
28,07-0770103604-00-430,医療法人　回生堂　しのぶ病院居宅介護支援事業所,"福島県福島市大森字高畑 31-1"
29,07-0770102903-00-430,居宅介護支援事業所　信夫の里,福島県福島市仁井田字下川原17番地
30,07-0770102135-00-430,いずみ指定居宅介護支援事業所,福島県福島市泉字二斗蒔１８-１５
