order,service_id,name,address
1,42-4270107479-00-430,医療法人すがさきクリニック居宅介護支援事業所,長崎県長崎市銅座町４番１３号
2,42-4270100862-00-430,医療法人社団　博生会　大久保医院,長崎市新地町4番15号
3,42-4270101381-00-430,医療法人昭和会　昭和会病院　指定居宅介護支援事業所新地,長崎県長崎市新地町６番３号
4,42-4270107701-00-430,居宅介護支援事業所　山の手,長崎市新地町12-8
5,42-4270100235-00-430,長崎市医師会保健福祉センター,長崎市栄町２番２２号
6,42-4270100813-00-430,"十善会ケアマネジメントセンターかごまち",長崎県長崎市籠町８番３０号スカイビル2階　在宅総合支援センター内
7,42-4270106109-00-430,医療法人昭和会昭和会病院指定居宅介護支援事業所恵美須,長崎県長崎市恵美須町6番6号　コーポ瓊ノ浦２０２号
8,42-4270100052-00-430,社会福祉法人朋永会指定居宅介護支援事業所びわの園,長崎市　茂木町　2222番地
9,42-4270100417-00-430,居宅介護支援事業所　古賀の里,長崎市　古賀町　806-2
10,42-4270100706-00-430,長崎県看護協会　ケアプランセンター,長崎市魚の町3-28
11,42-4270103114-00-430,居宅介護支援事業所　すりーはーと,長崎市大浦町6番3号
12,42-4270102264-00-430,株式会社メディカルネットワーク指定居宅介護支援事業所,長崎県長崎市諏訪町6番7号
13,42-4270106372-00-430,ケアプランセンターみなつき,長崎市目覚町3-13
14,42-4270107677-00-430,居宅介護支援事業所れんげそう,長崎市大黒町８番９号　荒木ビル３階
15,42-4270100409-00-430,医療法人　昭和会　昭和会病院　指定居宅介護支援事業所,長崎県長崎市東山手町６番５１号
16,42-4270103510-00-430,居宅介護支援事業所　ケアサポート惠,長崎市大浦町７-１3-202
17,42-4270135074-00-430,ケアプラン工房よかとこ,長崎市稲田町9-8
18,42-4270105390-00-430,"ケアプランセンター十三番館",長崎市大浦町3番21号
19,42-4270102165-00-430,株式会社　ケアリング長崎,長崎市桶屋町42
20,42-4270102595-00-430,居宅介護支援事業所　はるかぜ,長崎県長崎市古町１６番１号サンガーデン古町２０１号
21,42-4270100375-00-430,健友会ケアプランセンター,長崎市大浦町９-３０
22,42-4210162006-00-430,医療法人社団春秋会南長崎クリニック居宅介護支援事業所,長崎市相生町1番17号メゾンド田中201号
23,42-4270104153-00-430,"ケアプランセンター スマイルケア",長崎市御船蔵町6番3号
24,42-4270106380-00-430,セントケア長崎株式会社　セントケア長崎,長崎県長崎市馬町81番地　第七三光ビル20A号
25,42-4270107669-00-430,介護支援センターながさき　ケアプラン・ステーション新大工,長崎市新大工町5番20号
26,42-4270100797-00-430,元船光タクシー（株）指定居宅介護支援事業所,長崎県長崎市幸町２番１２号
27,42-4270103627-00-430,指定居宅介護支援事業者　サンハイツ稲佐,長崎市曙町３番１５号
28,42-4270100656-00-430,ニチイケアセンター長崎,長崎市桜馬場1丁目2番4号　グリーンビル3Ｆ
29,42-4270106661-00-430,ケアプランセンター　ゆめライフ,長崎県長崎市桜馬場1丁目1-7
30,42-4270100037-00-430,指定居宅介護支援事業者　サンハイツ銭座,長崎市銭座町2番6号
