order,service_id,name,address
1,20-2070100108-00-430,居宅介護支援事業者あがた,長野市南県町６５８番地
2,20-2070101437-00-430,シルバー・サロン長野,長野市大字中御所岡田６４番地
3,20-2070100017-00-430,全労済在宅介護サービスセンター,長野市立町978-2
4,20-2070105396-00-430,全労済在宅介護サービスセンターながの,長野市立町９７８-２
5,20-2070103896-00-430,"居宅介護支援事業所表参道",長野市大字南長野新田町１４５８番地メゾンフォンテーヌ３階Ａ号室
6,20-2070104662-00-430,"居宅介護支援事業所表参道",長野市大字南長野西後町1583
7,20-2070102088-00-430,さくらえちょう敬老園居宅介護支援事業所,長野市桜枝町823-1
8,20-2070103029-00-430,医療法人大和真田会ケアプランセンターながの,長野市南石堂１９７１
9,20-2070102708-00-430,居宅介護支援事業所メディカルタウン,長野市大字鶴賀権堂町1448-16
10,20-2070101080-00-430,えにし長野事業所,長野市大字鶴賀権堂町2215-3大通りエムティービル２０１
11,20-2070102476-00-430,指定居宅介護支援事業所ライフデザイン,長野市鶴賀緑町３０３６-２
12,20-2070100116-00-430,医療法人愛和会居宅介護支援事業所,長野市大字鶴賀１０４４-２
13,20-2070100157-00-430,ふれあい介護サービスセンター居宅介護支援事業所,長野市大字鶴賀緑町１７１４番地５
14,20-2070102492-00-430,燦倶楽部,長野県長野市大字安茂里１８２３-３
15,20-2070101122-00-430,城山介護サービスセンター居宅介護支援事業所,長野市箱清水１丁目３-８
16,20-2070102039-00-430,ケアネット長野サービスセンター中御所,長野市中御所４丁目１３番３１号
17,20-2010117162-00-430,医療法人公生会竹重病院,長野市田町2099番地
18,20-2070101114-00-430,安茂里介護サービスセンター　居宅介護支援事業所,長野市大字安茂里1775番地
19,20-2070100215-00-430,指定居宅介護支援事業所城山,長野市箱清水１丁目１２-１４
20,20-2070100041-00-430,長野医療生活協同組合在宅総合ステーションながの,長野市大字鶴賀東鶴賀町１９０６
21,20-2070100165-00-430,合名会社大滝,長野市上松2-7-7
22,20-2070105040-00-430,ながでんハートネット居宅介護支援長野,長野市東鶴賀町78番地
23,20-2070103136-00-430,ケアセンター・ライフケア,長野市鶴賀居町１１５番地５
24,20-2070102112-00-430,社会福祉法人暖家長野事業所,長野市若里二丁目１０-１
25,20-2050180062-00-430,老人保健施設ケアポート三輪,長野市三輪５丁目４３番地２０
26,20-2070103433-00-430,居宅介護支援事業所なかよしこよし,長野市上松２丁目１８番１１号
27,20-2070101486-00-430,居宅介護支援事業所　陽だまり栗田,長野市大字栗田字舎利田732番地1
28,20-2070101049-00-430,ニチイケアセンター高田,長野市高田1031-１
29,20-2070101163-00-430,指定居宅介護支援事業所介護屋,長野市伊勢宮２丁目21-18
30,20-2070104084-00-430,真心介護センター,長野市若里５丁目１０-４８
